संवैधानिक प्रावधानहरुलाई मूर्त रूप प्रदान गरी लोकतान्त्रिक शासन व्यवस्थामार्फत् देशमा कानुनी राज्य स्थापना गर्दै दण्डहीनताको अन्त्यका साथ न्याय सम्पादन प्रक्रियामा प्रत्यक्ष भूमिका निर्वाह गर्ने कानुन व्यवसायी मित्रहरुलाई लोकतन्त्रको पहरेदारका रुपमा लिने गरिन्छ। ,1
यस सन्दर्भबाट हेर्दा नेपाली कानुन व्यवसायीको भूमिका पनि सोहीअनुरुप रही उनीहरुले खेलेको प्रभावकारी एवं नेतृत्वदायी भूमिकाका लागि सबैलाई हार्दिक बधाई तथा शुभकामना दिन चाहन्छु।,1
वस्तुतः कानुन व्यवसाय चेतनशील नागरिकहरुको समूह हो।,0
न्याय एवं कानुनको विकासका लागि अहोरात्र खट्ने कानुन व्यवसायीहरु मूलतः न्यायपालिकाको अभिन्न अङ्ग एवं सहयोगीका रूपमा कार्यरत् रहने गर्छन्। ,1
तर  सोका अलावा समाज विकासमा पनि सक्रिय रहने भएका कारण उनीहरुलाई सामाजिक अभियन्ता एवं देशका बौद्धिक व्यक्तित्वहरुको समूहका रूपमा समेत लिने गरिन्छ। ,1
सधैँ न्यायको पक्षमा लागिरहने भएका कारण उनीहरुले आफूलाई न्याय सम्पादनको धरोहरको रुपमा पनि स्थापित गर्न सफलता प्राप्त गरेको देखिन्छ। ,1
नेपाली समाजको विकासक्रम अध्ययन गर्दा यसलाई आधुनिकतातर्फ उन्मुख गराउन विद्वान् कानुन व्यवसायीहरुको भूमिका अहम् रहेको पाइन्छ। ,1
समाजका स्वतन्त्र एवं चेतनशील नागरिकका हैसियतमा रहेका कानुन व्यवसायी मित्रहरुले देशको सामाजिक आर्थिक राजनीतिक क्षेत्रको विकासमा पुर्या्उनुभएको योगदानको सर्वत्र प्रशंसा गर्ने गरिएको छ।,1
यो हामी न्याय क्षेत्रसँग सम्बन्धित व्यक्तिहरुका लागि गौरवको विषयको रुपमा रहेको मैले ठोनेको छु। ,1
२००८ सालमा कानुन व्यवसायीहरुले सर्वप्रथम गरेको अधिवाचनालय गठनपश्चात्को अवधिदेखि हालसम्मको विकासक्रम हेर्दा नेपाली कानुन व्यवसायीले ६ दशक अवधि पार गरिसकेको अवस्था देखिन्छ। ,0
यस अवधिमा यसले न्यायपालिकाले जस्तै विभिन्न आरोह एवं अवरोह पार गर्दै संविधानवाद कानुनको शासन एवं न्यायिक मूल्य मान्यतामाथि आँच पुर्यासउने जुनसुकै कदमविरुद्ध खबरदारी गर्दै आफूलाई एउटा पेशागत संगठनको रुपमा मात्र सीमित नराखी लोकतान्त्रिक पद्धति र कानुनी शासनका माध्यमबाट नागरिक स्वतन्त्रताको संरक्षण गरिनुपर्छ भन्ने पक्षमा आफूलाई उभ्याउँदै आएको छ। ,0
जसरी नङ र मासुको सम्बन्ध छुट्याउन नसकिने प्रकृतिको हुन्छ  त्यसैगरी नेपालमा पनि बार र बेन्चको सम्बन्ध सोहीअनुरुप कायम रहिआएको तथ्य कसैमा छिपेको छैन।,1
वर्तमानमा न्याय सम्पादनको क्रममा न्यायपालिकालगायत् जुनसुकै न्यायिक एवं अर्धन्यायिक निकायले पनि कानुन व्यवसायीको प्रतिनिधित्वविनाको न्यायिक काम/कारबाहीको परिकल्पना गर्न सक्तैन।,1
हाम्रो संविधान एवं कानुनी व्यवस्थाहरु पनि यही विषयतर्फ केन्द्रित रहेकाले यी दुई निकायबीचको आत्मीयता एवं सहयोगलाई हामी सबैले बढावा दिनैपर्छ।,1
यदि कसैले यो सम्बन्धमा खलल पुर्यारउने चेष्टा गर्छ भने त्यो न्यायको उद्देश्य विपरितको कार्य हुन जानेतर्फ पनि म सबैको ध्यानाकर्षण गराउन चाहन्छु। ,1
कानुन व्यवसाय एउटा पेशा भएकाले यसको पनि आफ्नो सीमा एवं मर्यादा हुन्छ भन्ने मलाई पूर्ण ज्ञान छ। ,1
तापनि कानुन व्यवसायी मित्रहरुले सामाजिक हितका लागि पेशागत सीमाभित्र नबाँधिई देशका लागि गरेको समर्पण हामीले देखेका  भोगेका र अनुभव गरेका छौं।,1
कतिपय अग्रज कानुन व्यवसायीले आफूलाई समाजको उदाहरणीय व्यक्तिका रूपमा प्रतिस्थापन गर्न सफलता पाउनुभएको अवस्था पनि छ। ,1
यसै कारणले होला यो व्यवसायमा समर्पित व्यक्तिहरुमा अनुशासन मर्यादा इमानदारिता एवं निष्ठा जस्ता उच्चस्तरीय चारित्रिक गुणहरुको अपेक्षा पनि गरिन्छ। ,1
वर्तमानमा लम्बिँदो संक्रमणकालीन अवस्था एवं समाज विकासका कारण उत्पन्न जटिलताले न्यायपालिकाप्रतिको नागरिक अपेक्षा व्यापक मात्रामा अभिवृद्धि हुन पुगेको हामीले महसुस गरेका छौं। ,1
तापनि मुद्दाको कारबाही तथा निर्णयमा ढिलाई  फैसला कार्यान्वयनमा अपेक्षाकृत प्रभावकारिताको अभाव  गरिब एवं पिछडिएको वर्ग एवं क्षेत्रका व्यक्तिको न्यायमा सहज पहुँचको कमी जस्ता विषय आज न्यायपालिका एवं कानुन व्यवसायको साझा चुनौतीका रूपमा देखापरेका छन्। ,1
आफूसमक्ष आएका विवादलाई शीघ्र सहज एवं सुलभ तवरबाट समाधान गरी पीडितलाई न्याय प्रदान गरी जायज नागरिक अपेक्षा पूरा गर्दै न्यायपालिकाप्रतिको जनआस्था एवं अपनत्व वृद्धि गर्नु हामी सबैको प्रमुख कर्तव्य एवं संवैधानिक दायित्व पनि रहिआएको छ। ,1
यो दायित्वलाई मूर्त रूप प्रदान गर्न हामीबीच निरन्तरको सहकार्य एवं सहयोग जरुरी ठान्छु। ,1
संगठनलाई गतिशीलता प्रदान गर्ने क्रममा कुनै पनि संगठन समस्यामुक्त रहन सक्दैन। ,0
समस्या नभएका संगठन जीवन्त एवं गतिशील पनि हुन सक्तैन। ,1
यस सन्दर्भबाट हेर्दा नेपाली न्याय क्षेत्र पनि समस्यामुक्त रहेको पाईँदैन। ,1
नेपालमा लामो समयदेखि व्याप्त संक्रमणकालले न्यायपालिकामा पनि थप समस्या सिर्जना गरेको हामीले महसुस गरेका छौं। ,1
परिणामतः सर्वोच्च अदालतलगायत मातहत अदालतहरुमा न्यायाधीशलगायत् अन्य जनशक्तिको संख्या क्रमशः घट्दै गएको अवस्था छ। ,0
जसले हामीलाई गम्भीर एवं चिन्तित तुल्याएको छ। ,1
यस विषयका सम्बन्धमा विभिन्न कोणबाट बहस एवं छलफल पनि भइरहेका छन्। ,0
यसै सन्दर्भमा सर्वोच्च अदालतले गरेको फैसलाअनुरुप संविधान सभाको विघटन हुन्छ भन्ने जान्दाजान्दै न्याय परिषद् एवं प्रधान न्यायाधीशले सर्वोच्च अदालतमा रिक्त न्यायाधीश नियुक्त गर्न नसकेको भनी केही अवस्तुवादी पूर्वाग्रहयुक्त व्यक्तिगत लाञ्छनासहितका टिप्पणी पनि प्रकाशमा ल्याइएको देखिन्छ। ,1
त्यस्ता हचुवा र भ्रमपूर्ण टिप्पणीप्रति हामी सचेत रहनैपर्छ। ,0
यस सम्बन्धमा म के भन्न चाहन्छु भने संविधान सभा बहाल रहँदाको अवस्थामा चार पटकसम्म म्याद थप गर्दा पनि संविधान नबनी विघटन होला भन्ने सहज अनुमान गरेर कार्य गर्नु संविधानतः आफैँमा संविधान प्रतिकूलको सोच हुन जान्थ्यो।,1
संविधान जारी नगरिकन यसको विघटनको परिकल्पना कसैबाट पनि गरिएको थिएन। ,1
तर आज आएर त्यसरी संविधान सभाको अवसान हुने अवस्थाको ठोकुवा गर्ने सोच समय छँदै नरहेकोतर्फ सबैको ध्यानाकर्षण गराउन चाहन्छु। ,1
अन्तिम समयसम्म पनि संविधान आउँछ आउँछ भन्ने आशावादी समाचार हामीले पढे/सुनेकै हो। ,1
२०६९ जेठ १४ गतेभन्दा अगाडि राज्य पुनर्संरचना एवं संघीयतालगायत्का विषयमा यति गहन एवं सघन छलफल तथा विचार विमर्श भइरहेको थियो कि समग्र देश एवं जनताको ध्यान नै त्यसैमा केन्द्रित रहेको हामीले पाएका थियौं। ,1
सो छलफलको विषयवस्तुका रूपमा अन्य विषयका अलावा न्यायपालिका एवं न्याय परिषद्को पुनर्संरचना छुट्टै संवैधानिक अदालतको स्थापना गर्दै सर्वोच्च अदालतको मौजुदा न्यायाधीश दरबन्दीमा कटौती कार्यरत् न्यायाधीशको पुनर्नियुक्तिलगायत्का विषय पनि रहेको हामी सबैमा विदितै छ।,1
यो परिवेशलाई मध्यनजर गर्दै केही महिनाभित्रमा नै जनताद्वारा निर्वाचित संविधान सभाले नयाँ संविधान घोषणा हुने अवस्था रहँदारहँदै पुनर्संरचित हुन लागेको न्याय परिषद्ले दरबन्दी कटौती हुन लागेको सर्वोच्च अदालतमा रिक्त न्यायाधीश पूर्ति गर्न उपयुक्त छ/छैन भन्ने सम्बन्धमा कतिपय अवस्थामा अनौपचारिकरूपमा विचार विमर्श गरिँदा संविधान पर्खी तत्पश्चातको संवैधानिक व्यवस्थामा सहजता प्रदान गर्न हाल नियुक्ति प्रक्रिया अगाडि नबढाउनु नै उपयुक्त हुने  नियुक्ति प्रक्रिया अगाडि बढाइए त्यसले झन् नकारात्मक सन्देश प्रवाह गर्ने भन्ने जस्ता सुझाव पनि पाइएको हो। ,1
यस्तो परिवेश रहेको तत्कालीन अवस्थामा सर्वोच्च अदालतमा १५ जना न्यायाधीशसमेत कार्यरत् रहेको तथ्यलाई दृष्टिगत गर्दै न्यायाधीश नियुक्तिको प्राथमिक जिम्मेवारी पाएको न्याय परिषद् नयाँ संवैधानिक संरचनाअनुरूप जनशक्ति व्यवस्थापन गर्न तयार भएर बसेको यथार्थ पनि हामीले बिर्सन मिल्दैन। ,1
तर कसैबाट कल्पनासम्म पनि नगरिएको संविधान सभा दुर्भाग्यवस विघटन हुन पुग्यो जसको प्रभाव स्वाभाविकरूपमा अन्य क्षेत्रमा जस्तै न्यायपालिकामा पनि पर्न गयो। ,0
यदि संविधान सभाले नयाँ संविधान जारी गरेको भए हालको परिस्थिति अर्कै हुन गई हामीले चालेको कदम दूरदर्शी सावित हुनसक्थ्यो तर सो नहुनाको परिणाम आज सर्वोच्च अदालतमा न्यायाधीशको दरबन्दी रिक्त हुँदै जाने तर नियुक्ति प्रक्रिया अगाडि बढाउन नसकिनेखालको अत्यन्त जटिल अवस्थामा हामीलाई पुर्याँएको छ।,1
यो तीतो यथार्थ यहाँहरु सबैलाई विदितै छ। ,1
वर्तमानमा उत्पन्न यो यथार्थता मनन् गर्दै समस्या समाधानार्थ अगाडि बढ्न मैले बार एसोसियसनको संस्थागत एवं समस्त कानुन व्यवसायी मित्रहरुको सहयोगको अपेक्षा पनि गरेको छु। ,1
साथै संविधानतः न्याय परिषद्ले जिम्मेवारी पाएको तल्ला तहका अदालतमा रिक्त न्यायाधीश पदमा सुरु भएको नियुक्ति प्रक्रियालाई यथाशक्य चाँडो निष्कर्षमा पुर्या इने पनि यहाँहरुमा जानकारी गराउन चाहन्छु। ,1
अन्त्यमा विगतका सकारात्मक अनुभवहरुलाई जगेर्ना गरी प्राप्त नकारात्मक अनुभवहरुबाट शिक्षा लिँदै भावी योजना निर्धारण गर्नु नै आजको आवश्यकता हो भन्ने मलाई लागेको छ।,1
यो स्वाभाविक नियम पनि हो। ,1
यसका लागि विद्वान् कानुन व्यवसायी मित्रहरुबाट हामीले थप सहयोग एवं सुझावको अपेक्षा गरेका छौं।,1
यथासम्भव प्राप्त सुझावलाई समयमै अगाडि बढाइने कुरामा विश्वास दिलाउन चाहन्छु।,1
न्यायपालिका एवं नेपाली बारले भोग्नुपरेका समस्या एवं चुनौतीबारे खुलस्त रूपको बहस एवं छलफल गर्दै भावी दिनमा रचनात्मक ढङ्गबाट अघि बढ्न प्रस्तुत कार्यक्रमले पक्कै पनि सार्थकता पाउने आशा एवं विश्वास लिएको छु। ,1
